No.;Tanker Group;LOA (m);B (m);LD (t)
1;Handy;83.4;13;1133
2;Handy;88.8;14.8;1748.7
3;Handy;90;15.2;1840.57
4;Handy;92.35;15.2;3008.13
5;Handy;95.8;15.2;1810.9
6;Handy;99.6;18;2817
7;Handy;102.21;15.5;2373
8;Handy;102.7;17.8;2592.87
9;Handy;103.6;16.6;2940
10;Handy;105.29;15.2;2217
11;Handy;106.2;15.6;2462
12;Handy;113.08;15.7;2500
13;Handy;114.87;16;3230
14;Handy;115;17.6;2464.8
15;Handy;115.5;18.7;3125.83
16;Handy;116.5;20;3704.53
17;Handy;118.87;13;1607
18;Handy;119.1;16.9;2826.7
19;Handy;120;20.43;3748.2
20;Handy;121.4;19.2;3728.79
21;Handy;125.53;19.8;3802.5
22;Handy;128.6;20.4;4403
23;Handy;134.16;20.52;4272
24;Handy;134.3;21.2;4154.8
25;Handy;134.85;22;4248.6
26;Handy;139.9;16.7;2752
27;Handy;145.53;23.73;5375.01
28;Handy;147.83;24.23;5562
29;Handy;148.43;23;6580
30;Handy;149.35;17.3;3415
31;Handy;149.93;24.6;6135
32;Handy;161.12;23.25;6671
33;Panamax;170.17;26.63;8881.2
34;Panamax;175.9;31;8937
35;Panamax;175.93;31;8871
36;Panamax;179.88;32.23;9110
37;Panamax;179.96;32.2;9710
38;Panamax;181.78;27.42;8311
39;Panamax;182.5;32.2;9981
40;Panamax;182.55;27.34;8942
41;Panamax;182.55;27.4;8699
42;Panamax;183;32.2;10821.4
43;Panamax;183.17;32.24;10200
44;Panamax;184.32;27.4;8123
45;Panamax;184.33;27.44;8966
46;Panamax;185.93;32.23;10249
47;Panamax;228.17;32.2;12198
48;Panamax;228.4;38.03;16045.6
49;Panamax;228.6;32.26;13421.35
50;Panamax;228.6;32.35;15238.9
51;Aframax;228.6;42;16871.2
52;Aframax;228.6;42.04;16075
53;Aframax;240.99;42;16639
54;Aframax;243;42;18295
55;Aframax;243.8;42.04;18637
56;Aframax;243.96;42;16915
57;Aframax;244.15;42;18498
58;Aframax;248.96;43.8;17642.6
59;Aframax;249;44;17771.9
60;Aframax;249.85;44.06;20200
61;Aframax;249.96;44;20924
62;Aframax;253.59;44.03;19421.4
63;Suezmax;269.17;46.04;24742.9
64;Suezmax;270.45;44.6;24531
65;Suezmax;273.7;48.04;25939.6
66;Suezmax;274;48.04;23414
67;Suezmax;274.18;50;23978
68;Suezmax;274.2;48;22616
69;Suezmax;274.22;48;24788
70;Suezmax;274.5;48;25941.4
71;Suezmax;277.08;48;25900
72;Suezmax;281.2;48.2;19993
73;VLCC;329.88;60;41789.3
74;VLCC;332;58;42173
75;VLCC;332.95;58;43308
76;VLCC;333;60;42749.8
77;VLCC;333;60.05;44900
78;VLCC;333.4;56.5;41261
79;VLCC;336;60;46974
80;VLCC;336.17;60;47818
